Time,ENABLE MFV,MFV,BVFTP,SVFTV,SVCCP
150.65199999999822,1.0,,,,
150.737000000001,0.0,,,,
152.83899999999994,1.0,,,,
154.47899999999936,,0.0,,,
154.9880000000012,,0.0,,,
156.9439999999995,,0.0,,,
157.45899999999892,,90.0,,,
159.7609999999986,0.0,,,,
225.15199999999825,1.0,,,,
227.15299999999843,,0.0,,,
227.66500000000087,,0.0,,,
229.5580000000009,0.0,,,,
235.34899999999837,,,100.0,,
235.8640000000014,,,85.0,,
237.66999999999825,,,0.0,,
238.1790000000001,,,11.0,,
239.27400000000125,,,100.0,,
239.79100000000108,,,85.0,,
243.2760000000017,,,,1.0,
244.92799999999988,,,,0.0,
256.85099999999875,,,,,1.0
258.5099999999984,,,,,0.0
261.07700000000114,,,,,1.0
263.3169999999991,,,,,0.0
759.6100000000006,,,0.0,,
760.1229999999996,,,11.0,,
767.7900000000009,,,100.0,,
768.3009999999995,,,85.0,,
797.6680000000015,,,0.0,,
798.1840000000011,,,11.0,,
807.7350000000006,,,100.0,,
808.2530000000006,,,85.0,,
865.4150000000009,,,,1.0,
865.6539999999986,,,,0.0,
938.9399999999988,,,,1.0,
939.2740000000013,,,,0.0,
941.7710000000006,,,,1.0,
942.5119999999988,,,,0.0,
944.8159999999988,,,,1.0,
945.9449999999996,,,,0.0,
948.714,,,,1.0,
949.5279999999984,,,,0.0,
951.5699999999996,,,,1.0,
952.1759999999996,,,,0.0,
954.2940000000016,,,,1.0,
955.1100000000006,,,,0.0,
1085.535,,,,1.0,
1131.1160000000018,,,,0.0,
1369.4900000000016,1.0,,,,
1373.9730000000018,,,,,1.0
1411.2419999999984,,,0.0,,
1411.7479999999996,,,11.0,,
1415.1990000000003,,0.0,,,
1415.708999999999,,90.0,,,
1438.6800000000003,,,100.0,,
1439.1990000000003,,,85.0,,
1441.0149999999994,0.0,,,,
1442.5159999999996,1.0,,,,
1443.808000000001,,0.0,,,
1444.3179999999993,,0.0,,,
1445.6450000000004,0.0,,,,
1448.9259999999997,,,,,0.0
1528.3369999999995,,,,1.0,
1591.7520000000004,,,,0.0,
1616.4379999999985,,,,1.0,
2143.415000000001,,,0.0,,
2143.9379999999983,,,11.0,,
2236.8669999999984,,,,,1.0
2237.1670000000013,,,,,0.0
